Designator,Mid X,Mid Y,Rotation,Layer
C1,87.0,-67.0,0.0,top
C2,83.5,-74.0,0.0,top
D1,96.3767,-40.2035,0.0,top
D10,86.4038,-53.7223,0.0,top
D11,104.9384,-37.449,0.0,top
D12,133.441,-56.6688,0.0,top
D13,133.441,-62.6688,0.0,top
D14,132.81,-67.0,0.0,top
D15,121.81,-66.0,0.0,top
D16,121.81,-69.0,0.0,top
D17,132.81,-70.0,0.0,top
D18,129.9263,-38.3265,180.0,top
D19,130.81,-76.0,0.0,top
D2,113.3954,-39.0954,0.0,top
D20,93.81,-97.0,0.0,top
D21,105.81,-80.0,0.0,top
D22,133.441,-50.6688,0.0,top
D23,130.81,-73.0,0.0,top
D24,133.441,-59.6688,0.0,top
D25,145.7651,-72.1483,90.0,top
D26,133.441,-53.6688,0.0,top
D27,94.81,-84.0,0.0,top
D28,105.81,-77.0,0.0,top
D29,86.81,-62.0,0.0,top
D3,133.1197,-45.4116,0.0,top
D30,87.81,-59.0,0.0,top
D4,142.5847,-60.925,0.0,top
D5,140.4793,-77.4358,0.0,top
D6,132.6117,-92.1736,0.0,top
D7,91.7227,-92.1736,0.0,top
D8,84.6308,-79.8736,0.0,top
D9,79.4874,-68.1277,0.0,top
J1,120.3645,-40.4525,270.0,top
R1,138.0,-86.81,270.0,top
R2,91.2138,-47.5042,90.0,top
R3,88.81,-87.0,0.0,top
R4,79.75609580637817,-58.39717077278554,70.0,top
R5,121.81,-91.0,0.0,top
R6,130.81,-81.0,0.0,top
RV1,94.54,-79.0,0.0,top
SW1,108.648,-68.762,0.0,top
SW3,108.6779,-86.5699,0.0,top
SW4,125.08,-86.0,0.0,top
SW5,118.08,-79.0,0.0,top
SW6,107.7,-96.0,0.0,top
U1,95.9497,-69.7672,0.0,top
U2,109.2713,-53.2877,0.0,top
U3,98.9087,-54.0183,0.0,top
U4,119.1225,-53.3345,0.0,top
USB1,122.0212,-101.9267,0.0,top
